polarity,polarity value,match,match length (words),coverage (%)
negative,-0.23292000000000002,liberal party canada not run by convention caucus or cabinet leaders li,12,66.66666666666666
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,1.3596799999999998,really appreciate head coach david cox joining amp i morning on,11,78.57142857142857
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.6306999999999999,not one national academy science professional society a major university anywhere in world,13,72.22222222222221
positive,1.2908800000000002,blessed receive second d jacksonville,5,38.46153846153847
positive,1.0846099999999999,thanks again head coach joining amp i on morning,9,60.0
positive,2.46963,university often look like need help come back school on holiday,11,68.75
positive,2.15482,i am blessed thankful announce have committed further education baseball career at university,13,68.42105263157895
positive,3.29253,imagine running in canada like are just a peaceful trip some,11,64.70588235294117
positive,1.1890899999999998,across canada indigenous are working conserve amp waters like on ground fo,12,57.14285714285714
negative,-0.83745,military in canada forced take anti malaria vaccination,8,72.72727272727273
positive,0.6928799999999999,son in canada rockies regularly used buy new ski,9,52.94117647058824
negative,-0.35231,gary jason move us fault globe mail,7,43.75
positive,1.0023499999999999,will win th cap in first leg olympic qualifying doubleheader canada eve,12,60.0
positive,0.55723,all limited triangle cap hill university meet up in seattle but,11,52.38095238095239
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.51753,sorry uk currently unsure about be good or bad a prime minister who studied,14,58.333333333333336
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.11280000000000005,talking about me then forget before mba graduate as esp,10,50.0
positive,0.10136,hello r between baghdad july degree in pharma,8,53.333333333333336
positive,1.74423,game am excited another opportunity coach young men today oklahoma panhandle state,12,63.1578947368421
positive,0.14082000000000006,winchester ma le in canada a go con ho,9,47.368421052631575
positive,0.63423,course kid wearing a jersey,5,45.45454545454545
positive,0.7299,press freedom spain,3,25.0
negative,-0.4379799999999999,leadership out no show atlantic alienated mid barely hit radar in on,12,60.0
positive,0.2745,federal university agriculture student activist writing an open letter on,10,50.0
neutral,0,,0,0.0
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,1.0244,country id be mindful high mileage needs example old rv a bunch,12,66.66666666666666
positive,0.74309,important please help s husband due a bureaucratic mistake authorities w,11,68.75
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.34532,a valedictorian cum graduate trump university,6,54.54545454545454
positive,0.59663,no monopoly hb be backlog settled more talent people are motivated come here,13,68.42105263157895
positive,0.6335099999999999,at a white supremacist kid calling me,7,41.17647058823529
negative,-0.55969,dare someone in canada have a diverse view people hate hater,11,84.61538461538461
positive,0.10392999999999997,graduated cum boston university won election in a barely college,10,55.55555555555556
positive,0.23707,supporting local business revitalising darwin,5,50.0
positive,1.13299,not sure i know much about wale football am a grad wake forest university though,15,83.33333333333334
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
negative,-0.17327,un barrage le de bernard,5,55.55555555555556
negative,-0.14773000000000003,political correctness a virus at university then through society shutting down,11,57.89473684210527
positive,0.7617700000000001,sea ice normally found just off north slope right now away migrate near it ever,15,68.18181818181817
positive,0.053839999999999985,can liquefied natural gas industry move past hurdles slowing down stalling seeing,12,60.0
positive,0.76504,i need some help folks get tool out as many choose t,12,52.17391304347826
positive,0.4672,not sure will restock on nike ca but other in canada be getting,13,68.42105263157895
positive,1.34046,some simple smear job on in exchange a future possible,10,52.63157894736842
positive,0.57821,yes but okay as long canada paying carbon tax imaginary border in sky will protect us,16,76.19047619047619
positive,0.17488,cbc devi prima si e la,6,33.33333333333333
positive,0.32155999999999996,intro song shoot going on in delhi university campus other main support,12,66.66666666666666
positive,0.74133,university college football sat nov pm live streaming,8,66.66666666666666
positive,1.02099,direct action group stop trump arbor reported proud showing up a university michigan panel,14,70.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,2.01858,draw by low tax free land canada have so strategic industrial green energy wa,14,70.0
positive,2.0028400000000004,senior day have a whopping celebrate today come out support as,11,64.70588235294117
neutral,0,,0,0.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.21559999999999999,about larger underway in canada studying mdma anorexia,8,66.66666666666666
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.75129,university life i saw on tv reality,7,70.0
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
positive,1.48596,honored receive a scholarship offer coach coaching staff at mount university,11,57.89473684210527
positive,1.2912299999999999,do i look like go here university north texas,9,81.81818181818183
positive,1.61589,mary agree w amp can all do better start in canada by,12,63.1578947368421
positive,1.02099,direct action group stop trump arbor reported proud showing up a university michigan panel,14,70.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.13141999999999998,oh know in last couple opened seat office se,9,50.0
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.04128,i recently at a university talk using term hispanic well it out car,13,56.52173913043478
positive,0.036879999999999996,cousin works in canada he an hr but after it co,11,61.111111111111114
positive,0.33413,have graduated university,3,33.33333333333333
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.08256,toda persona a la el de ha,7,38.88888888888889
positive,0.3632099999999999,i need google become arborist in canada grace,8,66.66666666666666
negative,-0.16049000000000002,a former director made in late week,7,35.0
positive,1.1601299999999999,blessed earn another offer university,5,62.5
neutral,0.0,canada,1,100.0
negative,-0.34848,can not unite a canada an undemocratic electoral system,9,60.0
neutral,0,,0,0.0
positive,0.65125,japan a volunteer in years peking university international cultural festival he felt,12,60.0
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
positive,0.6647699999999999,made progress new nafta but still more do looking,9,50.0
positive,0.7476400000000001,a major canadian company based in calgary leaving canada even speaking out on imagine,14,70.0
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.6657000000000001,cuba all can say certainty a month by communist,9,47.368421052631575
positive,0.8497599999999998,exactly i am talking about claim be number one university in country le,13,65.0
positive,0.15000999999999998,disillusioned have in support strike action across uk pension,9,56.25
negative,-0.27427,disgusting wheeler a black american university student amp violently out,10,52.63157894736842
positive,1.32847,amp follow a chance win r us canada exclusive as batman pop,12,63.1578947368421
positive,0.81638,a good article toronto,4,50.0
positive,0.9000499999999999,know ill say it care university kansas,7,46.666666666666664
positive,1.3729799999999999,excited receive an offer university,5,50.0
positive,1.25091,blessed receive an offer university north florida,7,63.63636363636363
negative,-0.24794,trump university alum,3,100.0
positive,0.27409,crimson i can confirmed not g number just product a collection,11,64.70588235294117
positive,1.7064599999999999,me at halifax wrap party on saturday night an extraordinary few i have some truly,15,68.18181818181817
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
negative,-0.10295,there an peter end canada dec,6,42.857142857142854
positive,1.24332,canadian government wrongfully friend who subject be in iran being an atheist kurd please r,15,68.18181818181817
neutral,0.0,cambridge university,2,100.0
negative,-0.03314,temporarily ban before an election next reducing retirement age,9,52.94117647058824
positive,0.78145,create up in canadian ecosystem by planning double workforce c,10,55.55555555555556
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.2745,federal university agriculture student activist writing an open letter on,10,50.0
positive,0.2745,federal university agriculture student activist writing an open letter on,10,50.0
neutral,0.0,se em,2,28.57142857142857
neutral,0.0,also in,2,40.0
positive,0.33456,another example climate change more will it take canadian once protected by ic,13,65.0
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.14811000000000002,second episode online on main t,6,35.294117647058826
positive,1.14162,union eyes licensed cannabis out healthy canada,7,53.84615384615385
positive,0.88402,joyously constitutional freedom abortion while on,6,33.33333333333333
positive,0.35402,canada x mercy,3,30.0
positive,0.49854000000000004,he every bit it keep up,6,60.0
positive,0.06866,why university going viral on rn,6,54.54545454545454
positive,2.42727,deserve it so proud i love much want be best singer in world,13,65.0
positive,1.3245899999999997,very blessed have received an offer kentucky wesleyan university thank,10,58.82352941176471
positive,0.10746,canada now a,3,30.0
positive,0.46868999999999994,intro song shoot going on in delhi university campus other main support amp ab,14,73.68421052631578
positive,1.30144,help husband stay in canada sign petition i know random but,11,61.111111111111114
negative,-0.21724,set trend a new mandate every year not as cant afford it,12,60.0
positive,1.98935,pm ross state university howard college football live stream on,10,71.42857142857143
positive,0.51105,i just a woman in hubbard pop who new inhaler costs but fewer old one,15,65.21739130434783
positive,0.29832,means human jukebox southern university will be,7,58.333333333333336
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,1.2908800000000002,blessed receive second d jacksonville,5,38.46153846153847
positive,0.55753,there are better government funded healthcare like canada uk imo,10,62.5
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
negative,-0.27427,disgusting wheeler a black american university student amp violently out,10,52.63157894736842
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
neutral,0.0,crap canada,2,22.22222222222222
positive,0.07814999999999997,bitch please spend way more money most it big,9,47.368421052631575
positive,0.51105,i just a woman in hubbard pop who new inhaler costs but fewer old one,15,65.21739130434783
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,0.39745,health crisis in us street medicine detroit amp university wolverine work t,12,70.58823529411765
positive,1.54451,university mental health check on some are really going through it have nobody talk,14,66.66666666666666
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
neutral,0.0,austria finland iceland france,4,30.76923076923077
negative,-1.4282,trump corruption sex fake university condo scam all in report hi,11,68.75
positive,0.37122999999999995,about fly canada so can get together,7,63.63636363636363
positive,0.38012999999999997,i have admit it,4,66.66666666666666
positive,0.9041,please stream schedule a premier event amp qualifier by,9,52.94117647058824
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
neutral,0,,0,0.0
positive,0.21265999999999996,mike ross won canada cup guilty gear awesome,8,88.88888888888889
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,1.05687,in agreement here a sad state affairs have great international love come,12,57.14285714285714
positive,0.26159,are really ignorant being born in canada fair skin make whit,11,64.70588235294117
positive,0.5155000000000001,homecoming game day ross state university at pm wood stadium team through tailgate a,14,73.68421052631578
positive,0.08459,volleyball lost taylor university,4,57.14285714285714
negative,-0.65619,university depressed,2,33.33333333333333
positive,0.34121,primary school maiduguri secondary private,5,45.45454545454545
positive,0.3923700000000001,things only be on camera urban visit properly sickening,9,45.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
negative,-0.90777,just stop saying about in an unfavorable comparison are a horrible person y,13,76.47058823529412
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.8229700000000001,gaba i live in canada private insurance still,8,72.72727272727273
positive,0.20798,best raising switzerland,3,23.076923076923077
positive,0.86792,oil city friday night at university are available,8,57.14285714285714
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
positive,1.30633,i live in halifax now about same size as victoria it also cruise military,14,73.68421052631578
negative,-0.37345000000000006,la elizabeth le prince philip un de chef a,9,50.0
positive,0.64198,freedom flotilla gaza planning in us canada summer,8,57.14285714285714
positive,0.7052999999999999,african growing last week ended annual meeting at papers thanks t,11,68.75
positive,0.31906999999999996,definitely at university kentucky can name,6,50.0
positive,0.81785,as well who support racism climate denial can also put money ethical like,13,59.09090909090909
negative,-0.011070000000000024,me again month so please do self amp get cancer,10,43.47826086956522
positive,0.0056,i am first year in till iowa secondary,8,44.44444444444444
negative,-0.70267,edo state governor mr attack on lagos,7,41.17647058823529
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.7646999999999999,wholesale best quality wholesaler usa uk amp here,8,57.14285714285714
positive,0.0056,i am canada,3,50.0
positive,0.15790000000000004,apparently impossible find a hat in canada,7,63.63636363636363
neutral,0.0,after thanksgiving in canada christmas,5,55.55555555555556
neutral,0.0,time canada ban climate,4,44.44444444444444
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.7299,press freedom spain,3,25.0
positive,0.29510000000000003,white religion trump university higher education a house aide,9,52.94117647058824
negative,-0.42718,bath are bad,3,75.0
positive,0.29298,person hard at school university up a business works all hours,11,52.38095238095239
positive,1.1994500000000001,random memory before university wanted me take business economics so one day i over,14,73.68421052631578
positive,0.23448,last performance holding a ritual people murdered in gallery,9,52.94117647058824
positive,0.51105,i just a woman in hubbard pop who new inhaler costs but fewer old one,15,65.21739130434783
positive,1.63942,month well be as highlight some amazing have at archives start,11,52.38095238095239
positive,0.77864,see even registration too take shit just like in,9,42.857142857142854
positive,0.07091,nd year in a row top spot nationally,8,61.53846153846154
positive,0.3166800000000001,it an honor meet leaders vice president professor chang central police university in taiwan a,15,68.18181818181817
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
neutral,0.0,list concord new jakarta hartford sa,6,42.857142857142854
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.6306999999999999,not one national academy science professional society a major university anywhere in world,13,72.22222222222221
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.40604,lose love me apple,4,25.0
positive,0.08438999999999997,university state tournament victory wheeling park it parks first loss opener w,12,60.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.40259,v deserve,2,40.0
positive,1.98935,pm university college football live stream on,7,63.63636363636363
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.21835,will be canada soon,4,66.66666666666666
neutral,0,,0,0.0
positive,1.41837,black people come here on twitter amp want us celebrate example in african philosophy university,15,65.21739130434783
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.29832,university be,2,25.0
negative,-0.20592,a video racist tirade staff at bc drug mart gone viral,11,68.75
neutral,0,,0,0.0
positive,0.04258,a credit card debt comment below,6,50.0
negative,-0.17327,girard le de en la est des un apartheid co,10,47.61904761904761
positive,1.2953000000000001,khan here it moment an otherwise successful unlimited co,9,50.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
neutral,0.0,pst stuck in s fund,5,31.25
positive,1.42718,empirical proof university education impart intelligence then he decide leave th,11,61.111111111111114
neutral,0.0,salem,1,50.0
positive,0.74133,colorado mesa dixie state university college football sat nov pm live streaming,12,85.71428571428571
positive,0.15712000000000004,centrism so laughable as be beyond writing any candor about muslim crime in swede,14,66.66666666666666
neutral,0.0,es de en un pas,5,31.25
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.32374,athletics university regional,3,42.857142857142854
positive,0.95163,graduate one prestigious university in microbiology,6,33.33333333333333
positive,0.36753,nc football power wake forest appalachian carolina,7,50.0
neutral,0,,0,0.0
negative,-0.35387,lily any uncovered pc in nd pic sorry o,9,47.368421052631575
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.16114,why university houston name mascot john cougar,7,63.63636363636363
positive,0.59866,khan requested sir star,4,26.666666666666668
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
neutral,0.0,he canada,2,50.0
negative,-0.26347,all papa rip samuel north carolina central university,8,72.72727272727273
positive,0.11075,o do brasil de dos,5,50.0
positive,0.4488400000000001,nazi concentration make montreal debut cbc news,7,58.333333333333336
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
neutral,0,,0,0.0
positive,0.71157,why study geography or environmental science in uk great video will,11,64.70588235294117
positive,0.5437000000000001,alternate universe canada away us fill in mediterranean sea finally re,11,61.111111111111114
positive,2.01753,weekly do realize there a huge win on trade mexico canada waiting congress pass right but,16,61.53846153846154
positive,0.17826,wow australia,2,66.66666666666666
neutral,0.0,austria finland iceland france,4,30.76923076923077
negative,-0.31449000000000005,banks make liable steal canadian government needs ba,8,47.05882352941176
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.35588999999999993,stop placating canada mexico cool needs be in place asap,10,83.33333333333334
positive,0.12736,bang on,2,66.66666666666666
positive,1.25091,blessed receive an offer cornell university,6,60.0
negative,-0.52839,fever canada included,3,75.0
neutral,0.0,university,1,9.090909090909092
positive,1.29345,all play in second conditions are better,7,46.666666666666664
negative,-0.12982,just a spot shot china,5,71.42857142857143
negative,-0.19426000000000002,through at least two formal university linear algebra countless years using somehow i never l,15,83.33333333333334
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,1.08861,exactly why i have long integration more scientific research mainstream journalism read far,13,61.904761904761905
positive,0.12208,chef un molto trent university ontario canada,7,43.75
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.59946,trump another university success story,5,83.33333333333334
positive,0.11075,o do brasil de dos,5,50.0
neutral,0.0,indeed auntie pink hair halifax last year,7,46.666666666666664
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.19252,palestine legal minnesota national guild university today urging t,9,56.25
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.7299,press freedom spain,3,25.0
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.39826,nov seriously site huge recurring slope on north northwest,9,52.94117647058824
positive,0.6055999999999999,now out beta finished time get some done son,9,40.909090909090914
positive,0.028120000000000034,a young man first class honours in course as difficult biochemistry university,12,66.66666666666666
negative,-1.05283,after a long grind trusting things will go well despite injury doubt hate i have overcome am,17,77.27272727272727
neutral,0.0,lecturer,1,16.666666666666664
positive,0.51753,sorry uk currently unsure about be good or bad a prime minister who studied,14,58.333333333333336
positive,0.09689,economist david on saturday november out technical university mombasa tum grounds he,12,60.0
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
neutral,0.0,university tape,2,28.57142857142857
positive,0.84097,will conduct see are school board ask on,8,44.44444444444444
negative,-0.1488,oh not icon before currently testing a feature people in us canada jap,13,59.09090909090909
negative,-1.0952099999999998,university connecticut police arrest use racial slur under statute,9,60.0
neutral,0.0,en de la ro,4,23.52941176470588
positive,1.49844,ma after a great talk coach i am overjoyed announce have received an offer university,15,62.5
neutral,0.0,cross river university technology,4,80.0
positive,0.04128,a canada,2,66.66666666666666
positive,1.02548,agree i have in place too am not cheap labor either masters one renowned university,15,68.18181818181817
negative,-0.6265,man year sentence fraud scheme black axe organization,8,61.53846153846154
neutral,0.0,est en,2,13.333333333333334
positive,0.24046,professor dame mary beard classics at college university cambridge,9,64.28571428571429
positive,0.10495000000000002,le canada mon en plus,5,50.0
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,1.42718,empirical proof university education impart intelligence then he decide leave th,11,61.111111111111114
negative,-0.30197999999999997,scary stuff,2,100.0
positive,0.009550000000000003,soaking up some vitamin d english bay vancouver british columbia canada,11,100.0
neutral,0.0,will cross m at least once in lifetime,8,61.53846153846154
neutral,0,,0,0.0
positive,0.95243,canada all way send support outside starship building fair treatment,10,50.0
positive,0.44558000000000003,east canada banned just quebec it count,7,63.63636363636363
positive,0.43299,why ass all sudden have a problem paying coat i paid damn canada goose,14,70.0
negative,-0.14773000000000003,political correctness a virus at university then through society shutting down,11,57.89473684210527
positive,1.65244,excited announce i have committed further athletic career at colorado christian,11,61.111111111111114
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
neutral,0,,0,0.0
negative,-0.20643,antidepressant taken people,3,25.0
positive,0.9866,on thursday october i honor be recognized as first chartered president,11,55.00000000000001
positive,0.93771,george fox university willamette college football sat nov pm live streaming,11,84.61538461538461
negative,-1.33981,net le dit non des au crime n un a,10,45.45454545454545
positive,0.72064,i appreciate thoughtful comment thank though respectfully disagree w banning,10,83.33333333333334
positive,1.70391,university life see in real,5,45.45454545454545
positive,0.22307,anyway look at,3,50.0
positive,0.63583,i really getting cut by worst team in junior college football a scholarship athlete at sec school l,18,78.26086956521739
positive,0.93443,da de a chance win an official puck amp set,10,47.61904761904761
negative,-0.08745999999999998,economy booming why canada,4,44.44444444444444
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.10246,even can register both at home university,7,50.0
negative,-0.75719,connecticut police use ridicule hate speech statute charge people who insult surprise h,13,72.22222222222221
neutral,0.0,austria finland iceland france,4,30.76923076923077
positive,0.53506,a cornell university study found men overestimate performance while underestimate both hew,12,66.66666666666666
positive,0.07058,malik ironic who inherited party father made one brother leader opposition amp another a senator,15,71.42857142857143
negative,-0.45165,two teens charged in series violent,6,42.857142857142854
positive,0.29298,person hard at school university up a business works all hours,11,52.38095238095239
positive,1.109,ottawa but in fairness knowingly sexual misogynist racist,8,44.44444444444444
neutral,0.0,florida interference university,3,37.5
positive,1.91975,sorry so go but know nothing northern ireland give any experience on j,13,72.22222222222221
negative,-0.38004,hello in title article said are suffering reading,8,57.14285714285714
positive,1.37023,education most powerful weapon can use change world nelson mandela tip culture,12,57.14285714285714
negative,-0.49426,club canada not only faux but also greens n,9,56.25
negative,-0.08329,entire family may be an ultra experiment dad nuts,9,64.28571428571429
positive,0.1976,index currency in circulation as share arabia korea,8,50.0
neutral,0,,0,0.0
positive,0.7299,press freedom spain,3,25.0
positive,0.40604,lose love me apple,4,25.0
